Light Intensity (% of scale max) Run #2,Position (m) Run #2,Light Intensity (% of scale max) Run #6,Position (m) Run #6,Light Intensity (% of scale max) Run #7,Position (m) Run #7,Light Intensity (% of scale max) Run #8,Position (m) Run #8,Light Intensity (% of scale max) Run #9,Position (m) Run #9
0.8,0.0584,0.4,0.0369,0.4,0.0377,0.3,0.0377,0.1,0.0496
0.8,0.0585,0.4,0.037,0.4,0.0377,0.3,0.0389,0.1,0.05
0.8,0.0591,0.4,0.037,0.4,0.0377,0.3,0.0395,0.1,0.0507
0.8,0.0591,0.4,0.037,0.4,0.0379,0.3,0.0395,0.1,0.0514
0.8,0.0594,0.4,0.037,0.4,0.0382,0.3,0.0394,0.1,0.0517
0.8,0.0594,0.4,0.037,0.4,0.0388,0.3,0.0394,0.1,0.0522
0.8,0.0597,0.4,0.037,0.4,0.0393,0.3,0.0394,0.1,0.0527
0.8,0.0598,0.4,0.037,0.4,0.04,0.3,0.0394,0.1,0.0532
0.8,0.0599,0.4,0.037,0.4,0.0407,0.3,0.0394,0.1,0.0538
0.8,0.06,0.4,0.037,0.4,0.0413,0.3,0.0394,0.1,0.0543
0.7,0.0605,0.4,0.037,0.4,0.0419,0.3,0.0394,0.1,0.0551
0.6,0.0614,0.4,0.037,0.4,0.0425,0.3,0.0394,0.1,0.0555
0.5,0.0619,0.4,0.037,0.4,0.0437,0.3,0.0394,0.1,0.056
0.5,0.0621,0.4,0.037,0.4,0.0448,0.3,0.0394,0.1,0.0569
0.5,0.0622,0.4,0.037,0.4,0.0458,0.3,0.0394,0.1,0.0573
0.4,0.0628,0.4,0.037,0.4,0.0466,0.3,0.0394,0.1,0.0583
0.4,0.0639,0.4,0.037,0.4,0.0471,0.3,0.0394,0.1,0.059
0.4,0.0644,0.4,0.0377,0.4,0.0478,0.3,0.0394,0.1,0.0597
0.4,0.0644,0.4,0.0389,0.4,0.0485,0.3,0.0397,0.1,0.06
0.4,0.0643,0.4,0.0405,0.4,0.0493,0.3,0.0405,0.1,0.0608
0.4,0.0643,0.4,0.0405,0.4,0.0495,0.3,0.0408,0.1,0.0611
0.4,0.0643,0.4,0.0407,0.4,0.05,0.3,0.0417,0.1,0.062
0.4,0.0643,0.4,0.041,0.4,0.0503,0.3,0.0417,0.1,0.062
0.4,0.0643,0.4,0.0413,0.4,0.0511,0.3,0.042,0.1,0.0621
0.4,0.0643,0.4,0.0417,0.4,0.0516,0.3,0.0426,0.1,0.0622
0.4,0.0643,0.4,0.0419,0.4,0.0525,0.3,0.0436,0.1,0.0625
0.4,0.0643,0.4,0.0422,0.4,0.0532,0.3,0.0446,0.1,0.0625
0.4,0.0643,0.4,0.0423,0.4,0.054,0.3,0.0452,0.1,0.0626
0.4,0.0643,0.4,0.0432,0.4,0.0551,0.3,0.046,0.1,0.0625
0.4,0.0643,0.4,0.0438,0.4,0.0555,0.3,0.0463,0.1,0.0625
0.4,0.0643,0.4,0.0439,0.4,0.0569,0.3,0.0471,0.1,0.0625
0.4,0.0644,0.4,0.0443,0.4,0.0573,0.3,0.0473,0.1,0.0625
0.4,0.0644,0.4,0.0446,0.4,0.0582,0.3,0.048,0.1,0.0625
0.4,0.0644,0.4,0.0448,0.4,0.0587,0.3,0.0484,0.1,0.0625
0.4,0.0644,0.4,0.0452,0.4,0.0593,0.3,0.0489,0.1,0.0625
0.4,0.0644,0.4,0.0454,0.4,0.0602,0.3,0.0495,0.1,0.0625
0.4,0.0644,0.4,0.0456,0.4,0.0606,0.3,0.0496,0.1,0.0625
0.4,0.0644,0.4,0.0461,0.4,0.0616,0.3,0.0497,0.1,0.0625
0.4,0.0644,0.4,0.0461,0.4,0.062,0.3,0.05,0.1,0.0625
0.4,0.0645,0.4,0.0462,0.4,0.0628,0.3,0.0505,0.1,0.0625
0.4,0.0654,0.4,0.0465,0.4,0.063,0.3,0.0506,0.1,0.0625
0.4,0.066,0.4,0.0468,0.4,0.064,0.3,0.0509,0.1,0.0625
0.4,0.066,0.4,0.0473,0.4,0.0643,0.3,0.0509,0.1,0.0625
0.4,0.066,0.4,0.0476,0.4,0.0657,0.3,0.0512,0.1,0.0625
0.4,0.0663,0.4,0.0481,0.4,0.066,0.3,0.052,0.1,0.0625
0.4,0.0667,0.4,0.0487,0.4,0.0669,0.3,0.0529,0.1,0.0625
0.4,0.0668,0.4,0.0492,0.4,0.0672,0.3,0.053,0.1,0.0625
0.4,0.0671,0.4,0.0495,0.4,0.0675,0.3,0.054,0.1,0.0625
0.4,0.0678,0.4,0.0495,0.4,0.0677,0.3,0.0544,0.1,0.0625
0.4,0.0684,0.4,0.0496,0.4,0.0679,0.3,0.0553,0.1,0.0625
0.4,0.0688,0.4,0.05,0.4,0.0683,0.3,0.056,0.1,0.0625
0.4,0.069,0.4,0.0503,0.4,0.0684,0.3,0.0565,0.1,0.0626
0.4,0.0693,0.4,0.0507,0.4,0.0687,0.3,0.057,0.1,0.0626
0.4,0.0702,0.4,0.0511,0.4,0.0688,0.3,0.0576,0.1,0.0626
0.4,0.0705,0.4,0.0513,0.4,0.0697,0.3,0.0586,0.1,0.0626
0.4,0.0708,0.4,0.0516,0.4,0.0702,0.3,0.0593,0.1,0.0629
0.4,0.0712,0.4,0.0521,0.4,0.0702,0.3,0.0602,0.1,0.063
0.4,0.0722,0.4,0.0525,0.4,0.0701,0.3,0.0605,0.1,0.0634
0.4,0.0727,0.4,0.0528,0.4,0.0701,0.3,0.0608,0.1,0.0635
0.5,0.0732,0.4,0.0533,0.4,0.0701,0.3,0.0614,0.1,0.0638
0.7,0.0741,0.4,0.0533,0.4,0.0701,0.3,0.0622,0.1,0.0648
0.9,0.0746,0.4,0.0533,0.4,0.0701,0.3,0.0626,0.1,0.0659
1.2,0.075,0.4,0.0534,0.4,0.0701,0.3,0.0633,0.1,0.0663
1.4,0.0755,0.4,0.0534,0.4,0.0701,0.3,0.0644,0.1,0.0665
1.8,0.0768,0.4,0.0534,0.4,0.0701,0.3,0.0658,0.1,0.0668
2.1,0.0771,0.4,0.0534,0.4,0.0702,0.3,0.0668,0.1,0.0671
2,0.0782,0.4,0.0538,0.4,0.0702,0.3,0.0674,0.1,0.0675
1.8,0.079,0.4,0.054,0.4,0.0702,0.3,0.0681,0.1,0.068
0.8,0.0803,0.4,0.0546,0.4,0.0702,0.3,0.0688,0.1,0.0681
0.7,0.0805,0.4,0.055,0.4,0.0706,0.3,0.0693,0.1,0.0685
0.6,0.0816,0.4,0.0559,0.4,0.0723,0.3,0.0703,0.1,0.0688
1.2,0.082,0.4,0.0562,0.4,0.0731,0.3,0.0708,0.1,0.0692
2.1,0.0829,0.4,0.0566,0.4,0.0735,0.3,0.0717,0.1,0.0699
2.4,0.0833,0.4,0.0569,0.4,0.0737,0.3,0.0726,0.1,0.0704
4.2,0.084,0.4,0.0572,0.4,0.074,0.3,0.0732,0.1,0.0708
4.8,0.0844,0.4,0.0575,0.4,0.0744,0.3,0.0736,0.1,0.0711
5.9,0.0849,0.4,0.0577,0.4,0.0745,0.3,0.0741,0.1,0.0718
6.4,0.0856,0.4,0.0579,0.4,0.0746,0.3,0.0747,0.1,0.0723
6.5,0.0864,0.4,0.0584,0.4,0.0746,0.3,0.075,0.1,0.0725
6,0.0868,0.4,0.0585,0.4,0.0752,0.3,0.0752,0.1,0.0728
5.8,0.0869,0.4,0.0586,0.4,0.0755,0.3,0.0754,0.1,0.0731
5.1,0.0873,0.4,0.0588,0.4,0.0762,0.3,0.0755,0.1,0.0734
4.9,0.0875,0.4,0.059,0.4,0.0763,0.3,0.0757,0.1,0.0739
4.4,0.0877,0.4,0.0596,0.4,0.0767,0.3,0.0758,0.1,0.0743
3.8,0.0879,0.4,0.0599,0.4,0.0768,0.3,0.0762,0.1,0.0745
2.8,0.0885,0.4,0.0606,0.4,0.0774,0.3,0.0767,0.1,0.0747
2.3,0.089,0.4,0.0608,0.4,0.078,0.3,0.0768,0.1,0.075
0.8,0.0898,0.4,0.0615,0.4,0.0786,0.3,0.0768,0.1,0.0755
0.9,0.0904,0.4,0.0616,0.4,0.079,0.3,0.0768,0.1,0.0757
1.2,0.0909,0.4,0.0621,0.4,0.0794,0.3,0.0768,0.1,0.0758
2.6,0.0913,0.4,0.0622,0.4,0.0798,0.3,0.0768,0.1,0.076
3.5,0.0918,0.4,0.0628,0.4,0.0802,0.3,0.0768,0.1,0.0763
6,0.0925,0.4,0.0628,0.4,0.081,0.3,0.0767,0.1,0.0765
7.1,0.093,0.4,0.0628,0.4,0.0813,0.3,0.0767,0.1,0.0767
8.7,0.0939,0.4,0.0628,0.4,0.0825,0.3,0.0767,0.1,0.0768
9.4,0.0943,0.4,0.0628,0.4,0.0828,0.3,0.0768,0.1,0.0771
9.3,0.0948,0.4,0.0633,0.4,0.0836,0.3,0.0767,0.1,0.0774
8.1,0.096,0.4,0.0634,0.4,0.0838,0.3,0.0768,0.1,0.0779
6.2,0.0963,0.4,0.0637,0.4,0.0843,0.3,0.0768,0.1,0.079
4.3,0.0972,0.4,0.0637,0.4,0.0848,0.3,0.0768,0.1,0.0792
1.4,0.098,0.4,0.0642,0.4,0.0851,0.3,0.0768,0.1,0.0801
0.8,0.0989,0.4,0.0642,0.4,0.0856,0.3,0.0768,0.1,0.0801
0.8,0.0991,0.4,0.0653,0.4,0.086,0.3,0.0768,0.1,0.0809
1.6,0.0996,0.4,0.0657,0.4,0.0863,0.3,0.0777,0.1,0.0813
2.9,0.1005,0.4,0.0658,0.4,0.087,0.3,0.0779,0.1,0.0821
4.2,0.1012,0.4,0.0658,0.4,0.0871,0.3,0.0789,0.1,0.0822
6.1,0.102,0.4,0.0658,0.4,0.0876,0.3,0.0789,0.1,0.0822
6.6,0.1031,0.4,0.0663,0.4,0.0878,0.3,0.0791,0.1,0.0826
5.2,0.1041,0.4,0.0665,0.4,0.0883,0.3,0.0792,0.1,0.0829
4.2,0.1049,0.4,0.0666,0.4,0.0887,0.3,0.0795,0.1,0.0835
3.7,0.1053,0.4,0.0668,0.4,0.0902,0.3,0.0804,0.1,0.0839
3,0.1054,0.4,0.067,0.4,0.0906,0.3,0.0805,0.1,0.0844
2.5,0.1058,0.4,0.067,0.4,0.0907,0.3,0.0811,0.1,0.0852
2.2,0.1061,0.4,0.0675,0.4,0.0907,0.3,0.0811,0.1,0.0856
1.6,0.1064,0.4,0.0677,0.4,0.091,0.3,0.0821,0.1,0.0857
1.3,0.1066,0.4,0.0682,0.4,0.0912,0.3,0.0826,0.1,0.0858
1.1,0.1069,0.4,0.0686,0.4,0.0918,0.3,0.0831,0.1,0.0859
0.7,0.1074,0.4,0.0689,0.4,0.0923,0.3,0.0833,0.1,0.0866
0.6,0.1076,0.4,0.0694,0.4,0.0928,0.3,0.0841,0.1,0.0868
0.6,0.1079,0.4,0.0697,0.5,0.0932,0.3,0.0844,0.1,0.0874
0.6,0.1081,0.4,0.0704,0.5,0.0932,0.3,0.0849,0.1,0.0882
0.7,0.1084,0.4,0.0709,0.5,0.0932,0.3,0.085,0.1,0.0886
0.7,0.1085,0.4,0.0713,0.5,0.0932,0.3,0.0854,0.1,0.0889
0.8,0.1086,0.4,0.0716,0.5,0.0935,0.3,0.0861,0.1,0.0896
1.1,0.1091,0.4,0.0723,0.6,0.0937,0.3,0.0864,0.1,0.0903
1.4,0.1097,0.4,0.0726,0.7,0.0943,0.3,0.0864,0.1,0.0912
1.7,0.11,0.4,0.0733,0.8,0.095,0.3,0.087,0.1,0.0912
1.9,0.1104,0.4,0.0735,0.8,0.0953,0.3,0.0873,0.1,0.0918
2.1,0.111,0.4,0.074,0.7,0.096,0.3,0.0877,0.1,0.0925
2.2,0.1111,0.4,0.0742,0.6,0.0963,0.3,0.0877,0.1,0.0932
2.2,0.1113,0.4,0.0745,0.5,0.0971,0.3,0.0878,0.1,0.0936
2.2,0.1114,0.4,0.0745,0.5,0.0971,0.3,0.088,0.1,0.094
2.2,0.1115,0.4,0.0745,0.7,0.0976,0.3,0.0882,0.1,0.0942
2.2,0.1116,0.4,0.0746,1.3,0.0981,0.3,0.0887,0.1,0.0946
2.2,0.1117,0.4,0.0749,1.6,0.0988,0.3,0.0888,0.1,0.0948
2,0.1122,0.4,0.0751,1.9,0.0992,0.4,0.0898,0.1,0.0958
2,0.1124,0.4,0.0752,2.2,0.0994,0.4,0.09,0.1,0.096
2,0.1124,0.4,0.0756,2.2,0.0999,0.4,0.0904,0.1,0.0964
1.8,0.1126,0.4,0.0757,2.1,0.1,0.4,0.0904,0.2,0.0967
