Light Intensity (% of scale max) Run #2,Position (m) Run #2,Light Intensity (% of scale max) Run #11,Position (m) Run #11,Light Intensity (% of scale max) Run #12,Position (m) Run #12,Light Intensity (% of scale max) Run #13,Position (m) Run #13,Light Intensity (% of scale max) Run #14,Position (m) Run #14
9.4,0.0943,0.4,0.0653,0.4,0.0626,0.5,0.0802,0.6,0.083
9.3,0.0948,0.4,0.0657,0.4,0.0626,0.5,0.0802,0.6,0.0835
8.1,0.096,0.4,0.0666,0.4,0.0626,0.5,0.0807,0.5,0.0838
6.2,0.0963,0.4,0.0669,0.4,0.0626,0.5,0.081,0.5,0.0842
4.3,0.0972,0.4,0.0674,0.4,0.0626,0.5,0.0811,0.6,0.0845
1.4,0.098,0.4,0.0679,0.4,0.0654,0.5,0.0811,0.6,0.0849
0.8,0.0989,0.4,0.0686,0.4,0.0674,0.5,0.0811,0.6,0.0853
0.8,0.0991,0.4,0.0693,0.4,0.0689,0.5,0.0811,0.6,0.0855
1.6,0.0996,0.4,0.0697,0.4,0.0689,0.5,0.0814,0.6,0.0855
2.9,0.1005,0.4,0.0699,0.4,0.0689,0.5,0.0819,0.5,0.0857
4.2,0.1012,0.4,0.0704,0.4,0.0696,0.5,0.0822,0.5,0.0858
6.1,0.102,0.4,0.0706,0.4,0.0704,0.5,0.0825,0.5,0.0862
6.6,0.1031,0.4,0.0709,0.4,0.0713,0.5,0.0828,0.5,0.0868
5.2,0.1041,0.4,0.0709,0.4,0.0714,0.5,0.0831,0.5,0.0869
4.2,0.1049,0.4,0.0714,0.4,0.0716,0.5,0.0835,0.5,0.087
3.7,0.1053,0.4,0.0718,0.4,0.0716,0.5,0.0841,0.5,0.0874
3,0.1054,0.4,0.0723,0.4,0.0718,0.5,0.0843,0.5,0.0876
2.5,0.1058,0.4,0.0727,0.4,0.0722,0.5,0.085,0.5,0.0878
2.2,0.1061,0.4,0.0733,0.4,0.0726,0.6,0.0852,0.5,0.0881
1.6,0.1064,0.4,0.0734,0.4,0.0733,0.6,0.0855,0.4,0.0887
1.3,0.1066,0.4,0.0736,0.4,0.074,0.5,0.0858,0.4,0.0889
1.1,0.1069,0.4,0.0741,0.4,0.0741,0.5,0.0859,0.4,0.0895
0.7,0.1074,0.4,0.0744,0.4,0.0747,0.5,0.0861,0.4,0.09
0.6,0.1076,0.4,0.0747,0.4,0.0747,0.5,0.0865,0.5,0.0903
0.6,0.1079,0.4,0.075,0.4,0.0754,0.5,0.0869,0.5,0.0907
0.6,0.1081,0.4,0.0753,0.4,0.0757,0.5,0.087,0.5,0.0909
0.7,0.1084,0.4,0.0757,0.4,0.0766,0.4,0.0874,0.6,0.0909
0.7,0.1085,0.4,0.076,0.4,0.0775,0.4,0.0874,0.6,0.091
0.8,0.1086,0.4,0.0765,0.4,0.0786,0.4,0.0878,0.6,0.0913
1.1,0.1091,0.4,0.0771,0.4,0.0788,0.4,0.0879,0.6,0.0914
1.4,0.1097,0.4,0.0777,0.4,0.0795,0.4,0.0883,0.7,0.0915
1.7,0.11,0.4,0.0784,0.4,0.0797,0.4,0.0887,0.7,0.0915
1.9,0.1104,0.4,0.079,0.4,0.0803,0.4,0.0889,0.7,0.0915
2.1,0.111,0.4,0.0797,0.4,0.0809,0.4,0.0892,0.7,0.0916
2.2,0.1111,0.5,0.0801,0.4,0.0814,0.4,0.0895,0.6,0.0921
2.2,0.1113,0.5,0.0808,0.5,0.0827,0.4,0.0895,0.6,0.0922
2.2,0.1114,0.5,0.0814,0.5,0.083,0.4,0.0898,0.6,0.0926
